,start,stop
0,2050-04-02 22:08:10,2050-04-02 22:08:39
1,2050-04-02 22:08:40,2050-04-02 22:09:09
2,2050-04-02 22:09:10,2050-04-02 22:09:39
3,2050-04-02 22:09:40,2050-04-02 22:10:09
4,2050-04-02 22:10:10,2050-04-02 22:10:39
5,2050-04-02 22:10:40,2050-04-02 22:11:09
6,2050-04-02 22:11:10,2050-04-02 22:11:39
7,2050-04-02 22:11:40,2050-04-02 22:12:09
8,2050-04-02 22:12:10,2050-04-02 22:12:39
9,2050-04-02 22:12:40,2050-04-02 22:13:09
10,2050-04-02 22:13:10,2050-04-02 22:13:39
11,2050-04-02 22:13:40,2050-04-02 22:14:09
12,2050-04-02 22:14:10,2050-04-02 22:14:39
13,2050-04-02 22:14:40,2050-04-02 22:15:09
14,2050-04-02 22:15:10,2050-04-02 22:15:39
15,2050-04-02 22:15:40,2050-04-02 22:16:09
16,2050-04-02 22:16:10,2050-04-02 22:16:39
17,2050-04-02 22:16:40,2050-04-02 22:17:09
18,2050-04-02 22:17:10,2050-04-02 22:17:39
19,2050-04-02 22:17:40,2050-04-02 22:18:09
20,2050-04-02 22:18:10,2050-04-02 22:18:39
21,2050-04-02 22:18:40,2050-04-02 22:19:09
22,2050-04-02 22:19:10,2050-04-02 22:19:39
23,2050-04-02 22:19:40,2050-04-02 22:20:09
24,2050-04-02 22:20:10,2050-04-02 22:20:39
25,2050-04-02 22:20:40,2050-04-02 22:21:09
26,2050-04-02 22:21:10,2050-04-02 22:21:39
27,2050-04-02 22:21:40,2050-04-02 22:22:09
28,2050-04-02 22:22:10,2050-04-02 22:22:39
29,2050-04-02 22:22:40,2050-04-02 22:23:09
30,2050-04-02 22:23:10,2050-04-02 22:23:39
31,2050-04-02 22:23:40,2050-04-02 22:24:09
32,2050-04-02 22:24:10,2050-04-02 22:24:39
33,2050-04-02 22:24:40,2050-04-02 22:25:09
34,2050-04-02 22:25:10,2050-04-02 22:25:39
35,2050-04-02 22:25:40,2050-04-02 22:26:09
36,2050-04-02 22:26:10,2050-04-02 22:26:39
37,2050-04-02 22:26:40,2050-04-02 22:27:09
38,2050-04-02 22:27:10,2050-04-02 22:27:39
39,2050-04-02 22:27:40,2050-04-02 22:28:09
40,2050-04-02 22:28:10,2050-04-02 22:28:39
41,2050-04-02 22:28:40,2050-04-02 22:29:09
42,2050-04-02 22:29:10,2050-04-02 22:29:39
43,2050-04-02 22:29:40,2050-04-02 22:30:09
44,2050-04-02 22:30:10,2050-04-02 22:30:39
45,2050-04-02 22:30:40,2050-04-02 22:31:09
46,2050-04-02 22:31:10,2050-04-02 22:31:39
47,2050-04-02 22:31:40,2050-04-02 22:32:09
48,2050-04-02 22:32:10,2050-04-02 22:32:39
49,2050-04-02 22:32:40,2050-04-02 22:33:09
50,2050-04-02 22:33:10,2050-04-02 22:33:39
51,2050-04-02 22:33:40,2050-04-02 22:34:09
52,2050-04-02 22:34:10,2050-04-02 22:34:39
53,2050-04-02 22:34:40,2050-04-02 22:35:09
54,2050-04-02 22:35:10,2050-04-02 22:35:39
55,2050-04-02 22:35:40,2050-04-02 22:36:09
56,2050-04-02 22:36:10,2050-04-02 22:36:39
57,2050-04-02 22:36:40,2050-04-02 22:37:09
58,2050-04-02 22:37:10,2050-04-02 22:37:39
59,2050-04-02 22:37:40,2050-04-02 22:38:09
60,2050-04-02 22:38:10,2050-04-02 22:38:39
61,2050-04-02 22:38:40,2050-04-02 22:39:09
62,2050-04-02 22:39:10,2050-04-02 22:39:39
63,2050-04-02 22:39:40,2050-04-02 22:40:09
64,2050-04-02 22:40:10,2050-04-02 22:40:39
65,2050-04-02 22:40:40,2050-04-02 22:41:09
66,2050-04-02 22:41:10,2050-04-02 22:41:39
67,2050-04-02 22:41:40,2050-04-02 22:42:09
68,2050-04-02 22:42:10,2050-04-02 22:42:39
69,2050-04-02 22:42:40,2050-04-02 22:43:09
70,2050-04-02 22:43:10,2050-04-02 22:43:39
71,2050-04-02 22:43:40,2050-04-02 22:44:09
72,2050-04-02 22:44:10,2050-04-02 22:44:39
73,2050-04-02 22:44:40,2050-04-02 22:45:09
74,2050-04-02 22:45:10,2050-04-02 22:45:39
75,2050-04-02 22:45:40,2050-04-02 22:46:09
76,2050-04-02 22:46:10,2050-04-02 22:46:39
77,2050-04-02 22:46:40,2050-04-02 22:47:09
78,2050-04-02 22:47:10,2050-04-02 22:47:39
79,2050-04-02 22:47:40,2050-04-02 22:48:09
80,2050-04-02 22:48:10,2050-04-02 22:48:39
81,2050-04-02 22:48:40,2050-04-02 22:49:09
82,2050-04-02 22:49:10,2050-04-02 22:49:39
83,2050-04-02 22:49:40,2050-04-02 22:50:09
84,2050-04-02 22:50:10,2050-04-02 22:50:39
85,2050-04-02 22:50:40,2050-04-02 22:51:09
